GR	log10(LLD)	log10(MSFL)	DT	RHOB	NPHI	PEF	POR	Kg	ln(Kg)
7.86	2.0646	1.6133	63.19	2.5	0.1	8.48	12.5	15.802	2.76
7.82	2.0646	1.4921	62	2.52	0.11	9.7	12.7	11.415	2.435
7.75	2.102	1.6712	61.75	2.53	0.1	7.48	7.7	1.788	0.581
7.72	2.1478	1.6262	60.31	2.53	0.09	7.82	11.8	10.618	2.363
8.13	2.1537	1.7102	60.31	2.53	0.09	8.13	10.4	5.654	1.732
8.6	2.2119	1.8605	60.06	2.55	0.09	8.36	9.3	3.889	1.358
8.65	2.1607	1.7265	60	2.55	0.09	9.41	10.9	12.089	2.492
7.49	2.0309	1.802	59.13	2.56	0.09	7.85	9	6.431	1.861
13.04	1.8462	1.5853	60.38	2.54	0.1	10.13	10.6	6.694	1.901
13.49	1.8366	1.5839	60	2.54	0.09	9.88	10.1	6.866	1.927
16.06	1.8363	1.4246	61.13	2.54	0.1	8.26	9.9	7.443	2.007
32.22	2.5417	2.2307	54.38	2.7	0.01	7.51	1.9	0.084	-2.481
22.83	2.3974	1.9591	57.38	2.64	0.03	7.29	5.3	1.843	0.611
21.77	2.3065	2.5323	58.25	2.6	0.04	9.44	7.5	0.566	-0.57
23.34	2.2937	1.759	57.5	2.58	0.06	11.49	8	4.14	1.421
23.23	2.2263	1.8591	58.38	2.59	0.06	12.78	6	0.15	-1.899
26.92	2.4252	2.4685	56.38	2.65	0.02	9.87	2.6	0.099	-2.313
27.95	2.2472	1.9722	60.13	2.57	0.05	11.52	7	0.059	-2.827
41.63	2.1494	1.5678	58.75	2.53	0.09	10.26	13.1	0.923	-0.081
41.72	2.2777	1.776	57.13	2.58	0.07	11.97	10.5	0.78	-0.249
25.84	2.5448	2.3001	61.81	2.59	0.05	16.36	3.9	0.152	-1.884
21.67	2.5294	2.2291	54.25	2.67	0.03	9.6	1.4	0.033	-3.406
11.95	2.7176	2.2481	58.31	2.62	0.05	11.52	7.7	0.18	-1.713
13.2	2.5699	2.0031	51.06	2.67	0.02	9.09	5.5	0.1	-2.303
10.49	2.4142	2.4465	52.81	2.63	0.03	13.39	6.2	0.77	-0.261
5.6	2.3963	2.6394	53.31	2.64	0.03	12.02	5.8	0.428	-0.849
4.86	2.4323	2.1107	53.06	2.64	0.03	11.4	3.8	0.06	-2.813
5.23	2.5739	1.9513	55.63	2.62	0.04	10.66	3.8	0.079	-2.534
6	2.4962	1.8977	56.81	2.59	0.05	10.89	7.5	2.083	0.734
8.21	2.4282	1.7566	56	2.57	0.07	10.01	9.3	21.433	3.065
9.41	2.4437	1.6943	54.69	2.56	0.07	11.05	10	77.27	4.347
6.05	2.6059	1.9805	54.06	2.59	0.06	9.13	8	8.74	2.168
6.04	2.6234	1.991	53.63	2.6	0.04	8.97	6.8	8.06	2.087
8.88	2.5699	2.0477	53.81	2.64	0.04	8.44	6.4	19.242	2.957
12.99	2.5636	1.7018	53.75	2.67	0.03	9.73	5.4	2.032	0.709
8.57	2.5295	1.8222	51.5	2.58	0.05	10.52	9.7	63.325	4.148
7.07	2.0616	1.9857	54	2.66	0.04	9.34	5	0.193	-1.643
5.99	2.2819	2.0233	58.5	2.61	0.05	9.6	11.2	0.088	-2.433
7.11	2.2013	1.5214	65.25	2.54	0.08	9.29	12.1	278.907	5.631
5.23	1.7195	1.5581	60.44	2.55	0.12	9.94	9.8	128.133	4.853
4.48	1.6898	1.192	57.31	2.58	0.1	9.2	8.4	89.338	4.492
5.92	1.77	1.5544	56.25	2.61	0.08	10.16	3.4	0.559	-0.581
14.36	1.7563	1.3916	56.13	2.66	0.02	8.08	3.9	0.075	-2.592
17.25	1.6518	1.2443	57.69	2.64	0.06	7.5	5.7	0.258	-1.354
25.48	2.2278	2.6514	51.06	2.7	0.02	10	0.9	0.039	-3.251
21.7	1.9243	1.5908	55.06	2.63	0.03	11.81	2.5	0.126	-2.068
19.47	1.7879	1.3367	57.75	2.59	0.06	10.37	7	0.067	-2.702
17.09	1.7518	1.3179	58.5	2.59	0.07	8.48	8.4	0.118	-2.134
24.53	1.7373	1.5396	59.75	2.55	0.1	8.69	9.4	0.3	-1.205
27.64	1.8454	1.5228	59.19	2.56	0.09	7.93	9.2	0.454	-0.789
10.05	1.7718	1.8949	54.5	2.6	0.06	10.52	5	13.04	2.568
